ID;Time[s];
812;0.861957;Stop bit
813;0.861975;Start bit
814;0.861984;00000001
815;0.862053;Stop bit
816;0.86207;Start bit
817;0.862079;01110100
818;0.862148;Stop bit
819;0.862166;Start bit
820;0.862174;00000010
821;0.862244;Stop bit
822;0.862262;Start bit
823;0.86227;00000000
824;0.862339;Stop bit
825;0.862357;Start bit
826;0.862366;00000000
827;0.862435;Stop bit
828;0.862452;Start bit
829;0.862461;11100011
830;0.86253;Stop bit
831;0.862548;Start bit
832;0.862556;00010011
833;0.862626;Stop bit
834;0.862644;Start bit
835;0.862652;00000000
836;0.862721;Stop bit
837;0.862739;Start bit
838;0.862748;00000000
839;0.862817;Stop bit
840;0.863781;Start bit
841;0.863789;00000001
842;0.863859;Stop bit
843;0.863876;Start bit
844;0.863885;00000010
845;0.863954;Stop bit
846;0.863972;Start bit
847;0.86398;11111101
848;0.86405;Stop bit
849;0.864067;Start bit
850;0.864076;00001010
851;0.864146;Stop bit
852;0.864163;Start bit
853;0.864171;00000001
854;0.864241;Stop bit
855;0.864258;Start bit
856;0.864267;00000001
857;0.864336;Stop bit
858;0.864354;Start bit
859;0.864362;01111000
860;0.864432;Stop bit
861;0.864449;Start bit
862;0.864458;00000010
863;0.864528;Stop bit
864;0.864545;Start bit
865;0.864553;00000000
866;0.864623;Stop bit
867;0.86464;Start bit
868;0.864649;00000000
869;0.864718;Stop bit
870;0.864736;Start bit
871;0.864744;00001100
872;0.864814;Stop bit
873;0.864831;Start bit
874;0.86484;00110000
875;0.864909;Stop bit
876;0.864927;Start bit
877;0.864935;00000000
878;0.865005;Stop bit
879;0.865022;Start bit
880;0.865031;00000000
881;0.8651;Stop bit
882;0.866064;Start bit
883;0.866072;00000001
884;0.866142;Stop bit
885;0.866159;Start bit
886;0.866168;00000010
887;0.866237;Stop bit
888;0.866255;Start bit
889;0.866263;11111101
890;0.866333;Stop bit
891;0.86635;Start bit
892;0.866359;00001010
893;0.866428;Stop bit
894;0.866446;Start bit
